game;id;userscore;userscore_count;release_date
Geometry Wars™ 3: Dimensions Evolved;310790;90;1230;2014.11.25
Ghostrunner 2;2144740;81;6901;2023.10.26
Giana Sisters 2D;350770;64;226;2015.10.23
Giana Sisters: Twisted Dreams;223220;81;987;2012.10.22
Giana Sisters: Twisted Dreams - Rise of the Owlverlord;246960;83;334;2013.09.26
Gori: Cuddly Carnage;1299690;96;1111;2024.08.29
Gotham Knights;1496790;68;14761;2022.10.21
Grand Theft Auto V Enhanced;3240220;71;73460;2025.03.04
Grand Theft Auto V Legacy;271590;87;1832849;2015.04.14
Griftlands;601840;93;13160;2021.06.01
Hades;1145360;98;261892;2020.09.17
Hades II;1145350;94;63202;2024.05.06
Half-Life;70;96;106706;1998.11.19
Half-Life 2;220;97;183965;2004.11.16
Half-Life 2: Deathmatch;320;90;9673;2004.11.01
Half-Life Deathmatch: Source;360;73;3990;2006.05.01
Half-Life: Blue Shift;130;92;16717;2001.06.01
Half-Life: Opposing Force;50;95;22673;1999.11.01
Half-Life: Source;280;67;14137;2004.06.01
Halo Infinite;1240440;69;177629;2021.11.15
Halo Wars: Definitive Edition;459220;92;7825;2017.04.20
Halo: Spartan Assault;277430;78;4199;2014.04.04
Halo: Spartan Strike;324570;80;1500;2014.12.12
Halo: The Master Chief Collection;976730;92;222955;2019.12.03
Hard Reset Extended Edition;98400;82;3668;2012.07.12
Hard Reset Redux;407810;82;1801;2016.06.03
Hatsune Miku - The Planet Of Wonder And Fragments Of Wishes;2477920;59;77;2024.04.21
Hatsune Miku Logic Paint S;2089350;93;1003;2022.11.19
Hatsune Miku Logic Paint S+;3446190;95;47;2025.07.23
Hatsune Miku: Project DIVA Mega Mix+;1761390;94;16349;2022.05.26
Heretic's Fork;2181610;85;2852;2023.09.13
Hi-Fi RUSH;1817230;97;25804;2023.01.25
Horizon Forbidden West™ Complete Edition;2420110;88;16212;2024.03.21
Horizon Zero Dawn™ Complete Edition;1151640;87;94086;2020.08.07
Horizon Zero Dawn™ Remastered;2561580;81;3851;2024.10.31
Hotel Giant 2;38230;47;251;2010.01.27
HYPERVIOLENT;1409200;72;68;2023.04.06
Industry Giant 2;271360;86;811;2015.08.14
Injustice: Gods Among Us Ultimate Edition;242700;86;9506;2013.11.12
Injustice™ 2;627270;86;16244;2017.11.30
Ion Fury;562860;93;5469;2019.08.15
Islands of Insight;2071500;75;1509;2024.02.13
Jagged Alliance 3;1084160;89;9776;2023.07.14
Jets'n'Guns 2;830820;90;1130;2020.07.24
Jets'n'Guns Gold;262260;88;1212;2014.02.05
Kaze and the Wild Masks;829280;94;1676;2021.03.26
Kena: Bridge of Spirits;1954200;91;14787;2022.09.26
King Of The Castle;1839880;91;1215;2023.03.02
Knights of Honor II: Sovereign;736820;77;4395;2022.12.06
Lakeside Bar;3417120;85;354;2025.07.30
Lara Croft and the Guardian of Light;35130;92;3390;2010.09.28
LARA CROFT AND THE TEMPLE OF OSIRIS™;289690;66;1187;2014.12.08
Lara Croft GO;540840;94;3012;2016.12.04
Left 4 Dead;500;96;53536;2008.11.17
Left 4 Dead 2;550;97;750015;2009.11.16
LEGO® 2K Drive;1451810;66;687;2023.05.18
Lil Gator Game;1586800;99;4037;2022.12.14
"Little Kitty; Big City";1177980;96;8616;2024.05.09
Loddlenaut;1644940;98;2761;2023.11.16
LOLLIPOP CHAINSAW RePOP;2658450;87;2006;2024.09.11
MakeRoom;2212670;92;210;2025.08.07
Marvel vs. Capcom: Infinite;493840;67;2323;2017.09.19
Marvel's Guardians of the Galaxy;1088850;93;32060;2021.10.26
Marvel’s Spider-Man Remastered;1817070;96;81563;2022.08.12
Marvel’s Spider-Man: Miles Morales;1817190;93;31151;2022.11.18
Mediterranea Inferno;2103680;97;189;2023.08.24
Mega Man 11;742300;89;3614;2018.10.02
Metro 2033 Redux;286690;90;83690;2014.08.25
Miasma Chronicles;1649010;79;1651;2023.05.23
Mirror's Edge™;17410;87;29930;2009.01.13
Mirror's Edge™ Catalyst;1233570;80;13076;2016.06.07
MiSide;2527500;97;101211;2024.12.10
My Dream Setup;2200780;90;5193;2023.02.20
My Little Universe;2328750;90;1185;2023.10.05
Naheulbeuk's Dungeon Master;2005160;73;1218;2023.11.15
NEOGEO POCKET COLOR SELECTION Vol. 1 Steam Edition;1586350;88;44;2021.09.29
NEOGEO POCKET COLOR SELECTION Vol.2;1983850;95;20;2022.11.09
New Super Lucky's Tale;1038300;95;487;2020.08.21
New Tales from the Borderlands;1454970;31;1475;2022.10.20
Nine Parchments;471550;77;3902;2017.12.05
Oddworld: Abe's Exoddus®;15710;94;1420;1998.11.17
Oddworld: Abe's Oddysee®;15700;90;2128;1997.12.12
Oddworld: Munch's Oddysee;15740;77;938;2010.12.20
Oddworld: New 'n' Tasty;314660;87;2806;2015.02.25
Oddworld: Soulstorm Enhanced Edition;619390;66;428;2022.06.21
Oddworld: Stranger's Wrath HD;15750;87;1435;2010.12.20
Overcrowd: A Commute 'Em Up;726110;81;1634;2020.10.06
Parkitect;453090;94;6413;2018.11.29
Patch Quest;1347970;94;1988;2023.03.02
Pinball FX;2328760;70;2215;2023.04.13
Poly Bridge;367450;91;16202;2016.07.12
Portal;400;98;157115;2007.10.10
Portal 2;620;98;366305;2011.04.18
Portal with RTX;2012840;60;18183;2022.12.08
PowerWash Simulator;1290000;97;46926;2022.07.14
Project Highrise;423580;85;3702;2016.09.08
Puyo Puyo Champions;971620;79;741;2019.05.06
Puyo Puyo™ Tetris® 2;1259790;81;2155;2021.03.23
Puyo Puyo™Tetris®;546050;84;4655;2018.02.27
RAILGRADE;1355090;84;999;2023.10.13
Rampage Miami;1176020;88;197;2019.12.05
Ratchet & Clank: Rift Apart;1895880;89;9028;2023.07.26
Resident Evil;304240;92;20825;2015.01.19
Resident Evil 0;339340;82;10206;2016.01.19
Resident Evil 2;883710;97;122345;2019.01.24
Resident Evil 3;952060;82;63612;2020.04.02
Resident Evil 4;2050650;97;125567;2023.03.23
Resident Evil 4 (2005);254700;93;67174;2014.02.27
Resident Evil 5;21690;87;36293;2009.09.15
Resident Evil 6;221040;79;40538;2013.03.22
Resident Evil 7 Biohazard;418370;95;70114;2017.01.23
Resident Evil Re:Verse;1236300;34;4819;2022.10.20
RESIDENT EVIL RESISTANCE;952070;38;4862;
Resident Evil Revelations;222480;82;9635;2013.05.20
Resident Evil Revelations 2;287290;78;23170;2015.02.24
Resident Evil Village;1196590;95;86041;2021.05.06
Retrowave;1239690;96;13620;2022.05.06
Ricochet;60;81;4365;2000.11.01
Rift of the NecroDancer;2073250;94;3602;2025.02.05
Rise of Industry;671440;74;3073;2019.05.02
Rise of the Tomb Raider™;391220;94;112045;2016.02.09
Risk of Rain 2;632360;93;215922;2020.08.11
River City Girls;1049320;85;2805;2019.09.05
River City Girls 2;1920480;85;1381;2022.12.14
River City Girls Zero;1851020;70;155;2022.09.21
Rolling Line;754150;96;2128;2018.04.27
Sackboy™: A Big Adventure;1599660;83;2206;2022.10.27
Saints Row;742420;62;4582;2023.08.24
Saints Row 2;9480;74;11949;2009.01.28
Saints Row IV: Re-Elected;206420;87;57145;2013.08.19
Saints Row: Gat out of Hell;301910;75;7535;2015.01.20
Saints Row: The Third;55230;95;48060;2011.11.14
Saints Row®: The Third™ Remastered;978300;71;2997;2021.05.21
SAMURAI SHODOWN;1342260;80;1507;2021.06.14
SAMURAI SHODOWN NEOGEO COLLECTION;999660;82;304;2020.06.18
SAMURAI SHODOWN V SPECIAL / サムライスピリッツ零スペシャル;1076550;91;472;2019.06.18
SEGA Mega Drive and Genesis Classics;34270;80;11910;2010.06.01
Semispheres;448800;91;48;2017.02.14
Serious Sam 3: BFE;41070;88;21113;2011.11.22
Serious Sam 4;257420;83;14438;2020.09.24
Serious Sam Fusion 2017 (beta);564310;93;4208;
Serious Sam HD: The First Encounter;41000;93;6736;2009.11.24
Serious Sam HD: The Second Encounter;41010;92;194;2010.04.28
Shadow of the Tomb Raider: Definitive Edition;750920;85;63871;2018.09.14
Shadow Warrior;233130;92;15587;2013.09.26
Shadow Warrior 2;324800;87;23562;2016.10.13
Shadow Warrior 3: Definitive Edition;1036890;68;4401;2022.03.01
Shadow Warrior Classic Redux;225160;90;2852;1997.05.13
Shantae Advance: Risky Revolution;3055950;;;
Shantae and the Pirate's Curse;345820;94;1730;2015.04.23
Shantae and the Seven Sirens;1191630;90;1436;2020.05.28
Shantae: Half-Genie Hero Ultimate Edition;764300;91;807;2018.05.08
Shantae: Risky's Revenge - Director's Cut;277890;87;1143;2014.07.15
SHOCK TROOPERS;366270;87;147;2016.05.18
SHOCK TROOPERS 2nd Squad;465870;55;111;2016.09.28
Sky Force Anniversary;355050;92;2016;2015.04.30
Sky Force Reloaded;667600;92;2438;2017.11.29
SNK 40th ANNIVERSARY COLLECTION;865940;82;190;2019.06.07
SNK HEROINES Tag Team Frenzy;794580;71;795;2019.02.21
SNK VS. CAPCOM: THE MATCH OF THE MILLENNIUM;1575670;92;165;2021.09.29
Sonic & All-Stars Racing Transformed Collection;212480;93;11404;2013.01.31
Sonic & SEGA All-Stars Racing;34190;88;2375;2010.03.03
Sonic Adventure 2;213610;90;21513;2012.11.19
Sonic Adventure DX;71250;92;14210;2011.03.04
Sonic Colors: Ultimate;2055290;68;1094;2023.02.06
Sonic Forces;637100;61;6228;2017.11.07
Sonic Frontiers;1237320;90;20252;2022.11.07
Sonic Generations Collection;71340;93;20147;2011.11.03
Sonic Lost World;329440;65;3697;2015.11.02
Sonic Mania;584400;94;22132;2017.08.29
Sonic the Hedgehog 4 - Episode I;202530;44;2321;2012.01.19
Sonic the Hedgehog 4 - Episode II;203650;78;1544;2012.05.15
SONIC X SHADOW GENERATIONS;2513280;97;10052;2024.10.24
SOULCALIBUR VI;544750;82;9225;2018.10.18
Spirit City: Lofi Sessions;2113850;97;11824;2024.04.08
STAR WARS Jedi: Fallen Order™;1172380;88;140249;2019.11.14
STAR WARS™ Battlefront™ II;1237950;88;74437;2017.11.16
Starship Troopers: Terran Command;1202130;88;8554;2022.06.16
Steelrising;1283400;73;3398;2022.09.08
Sticky Business;2303350;96;5234;2023.07.17
Stray;1332010;97;142281;2022.07.19
Stray Gods: The Roleplaying Musical;1920780;94;2285;2023.08.09
Street Fighter 30th Anniversary Collection;586200;71;2088;2018.05.29
Street Fighter V;310950;72;27485;2016.02.15
Street Fighter™ 6;1364780;84;37746;2023.06.01
Streets of Rage 4;985890;92;16188;2020.04.30
Suicide Squad: Kill the Justice League;315210;61;10990;2024.02.02
Sunset Overdrive;847370;90;11084;2018.11.16
Super Lucky's Tale;847360;83;500;2018.09.14
Tales & Tactics;1652250;80;1453;2024.08.15
Tales from the Borderlands;330830;93;14594;2021.02.16
Team Fortress Classic;20;86;6624;1999.04.01
Team Sonic Racing™;785260;73;2672;2019.05.21
TEKKEN 7;389730;82;66137;2017.06.01
TEKKEN 8;1778820;55;37948;2024.01.25
Tetris® Effect: Connected;1003590;94;7668;2021.08.17
The Forgotten City;874260;96;9837;2021.07.28
THE KING OF FIGHTERS '97 GLOBAL MATCH;702120;80;1349;2018.04.03
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION;222420;90;2355;2014.12.16
